meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1219,9161,20,4,2023-09-16T13:06:11.600000+00:00,42.303,60.497,41.799,151,216,False,144.599,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",207
1219,9161,27,4,2023-09-16T13:06:12.444000+00:00,42.223,53.895,38.118,160,241,False,134.236,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",182
1219,9161,77,4,2023-09-16T13:06:18.350000+00:00,39.618,59.176,40.414,237,225,False,139.208,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",215
1219,9161,24,4,2023-09-16T13:06:25.584000+00:00,39.414,58.639,39.026,227,229,False,137.079,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[0, 0, 0, 0, 0, 0, 0, 0]",221
1219,9161,10,1,2023-09-16T13:06:44.912000+00:00,,59.797,38.238,241,170,True,,"[2064, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",
1219,9161,4,4,2023-09-16T13:06:48.849000+00:00,49.335,61.445,44.397,93,196,False,155.177,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",190
1219,9161,14,2,2023-09-16T13:07:02.099000+00:00,36.755,55.589,37.059,254,248,False,129.403,"[2049, 2049, 2049, 2049, 2049, 2048, 2048, 2049]","[2048, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2049, 2049, 2049, 2049, 2049, 0]",265
1219,9161,18,4,2023-09-16T13:07:05.114000+00:00,52.172,57.08,,231,179,False,,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[0, 0, 0, 0, 0, 0, 0, 0]",227
1219,9161,40,4,2023-09-16T13:07:05.489000+00:00,70.636,57.969,,164,223,True,,"[2064, 2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[0, 0, 0, 0, 0, 0, 0, 0]",
1219,9161,11,4,2023-09-16T13:07:08.661000+00:00,44.739,59.583,49.014,166,243,False,153.336,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",186
1219,9161,1,4,2023-09-16T13:07:09.114000+00:00,42.243,52.971,40.268,180,234,False,135.482,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[0, 0, 0, 0, 0, 0, 0, 0]",158
1219,9161,63,3,2023-09-16T13:07:12.989000+00:00,42.522,58.161,84.331,210,241,False,185.014,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064]",238
1219,9161,44,3,2023-09-16T13:07:19.974000+00:00,39.833,55.049,47.624,223,218,False,142.506,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064, 2064]",259
